,1 sao,2 sao,3 sao,4 sao,5 sao
1 sao,2524,0,0,0,67
2 sao,214,0,0,0,26
3 sao,100,0,0,0,65
4 sao,36,0,0,0,203
5 sao,92,0,0,0,753
