,1 sao,2 sao,3 sao,4 sao,5 sao
1 sao,2500,0,0,0,90
2 sao,209,0,0,0,32
3 sao,90,0,0,0,75
4 sao,39,2,0,0,198
5 sao,76,0,0,0,769
