epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.7094540596008301,1.412635326385498,0.7914726734161377,0.8792238831520081,0.0010000000474974513
1,0.7801605463027954,0.8506250977516174,0.8042146563529968,0.7157300114631653,0.0010000000474974513
2,0.7977452278137207,0.7311200499534607,0.8083803057670593,0.6678966283798218,0.0010000000474974513
3,0.8048526644706726,0.6802520751953125,0.8125459551811218,0.632093071937561,0.0010000000474974513
4,0.8092028498649597,0.6458540558815002,0.8154863715171814,0.6212676763534546,0.0010000000474974513
5,0.8164328336715698,0.607977569103241,0.8142611980438232,0.6248642802238464,0.0010000000474974513
6,0.8188836574554443,0.5838521122932434,0.816956639289856,0.6120274662971497,0.0010000000474974513
7,0.8234789371490479,0.562161922454834,0.8186718821525574,0.6069572567939758,0.0010000000474974513
8,0.8266037702560425,0.539966344833374,0.8154863715171814,0.6179410815238953,0.0010000000474974513
9,0.832301914691925,0.5174803137779236,0.8198970556259155,0.6061484217643738,0.0010000000474974513
