,1 sao,2 sao,3 sao,4 sao,5 sao
1 sao,2546,0,7,8,30
2 sao,205,0,3,7,26
3 sao,93,3,3,17,49
4 sao,36,0,5,22,176
5 sao,61,0,0,9,775
