,precision,recall,f1-score,support
1 sao,0.865691941516491,0.9826321883442686,0.9204627621113521,2591.0
2 sao,0.0,0.0,0.0,241.0
3 sao,0.16666666666666666,0.01818181818181818,0.03278688524590164,165.0
4 sao,0.3492063492063492,0.09205020920502092,0.1456953642384106,239.0
5 sao,0.7339015151515151,0.9171597633136095,0.8153603366649133,845.0
accuracy,0.8198970840480274,0.8198970840480274,0.8198970840480274,0.8198970840480274
macro avg,0.4230932945082044,0.4020047958089433,0.3828610696521156,4081.0
weighted avg,0.7287711144897271,0.8198970840480274,0.763080012063445,4081.0
