Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Rating MAE,Parameters,Epochs,Training seconds,Inference ms/sample
SimpleRNN,0.47635383484440086,0.24873829940735748,0.3073798291710112,0.23025627282246708,0.5179048848084301,1.2450379808870375,2709393,10,183.20208933390677,1.159209987507844
BiLSTM + Attention,0.6714040676304828,0.4702483614211997,0.5169324150372285,0.47194736464633175,0.717567834452852,0.4533202646410194,2988817,10,219.360300750006,0.606511251410322
Transformer Encoder,0.6157804459691252,0.4106321001559065,0.4473278631750766,0.40086060215979497,0.663349915160704,0.594217103651066,2790645,7,47.10458533302881,0.14671024256968937
