,1 sao,2 sao,3 sao,4 sao,5 sao
1 sao,2532,0,0,4,54
2 sao,214,2,1,2,22
3 sao,90,1,5,9,60
4 sao,30,1,3,14,191
5 sao,50,0,0,10,785
