,precision,recall,f1-score,support
1 sao,0.8683127572016461,0.9776061776061776,0.9197239375227025,2590.0
2 sao,0.5,0.008298755186721992,0.0163265306122449,241.0
3 sao,0.5555555555555556,0.030303030303030304,0.05747126436781609,165.0
4 sao,0.358974358974359,0.058577405857740586,0.10071942446043165,239.0
5 sao,0.7059352517985612,0.9289940828402367,0.8022483392948391,845.0
accuracy,0.8181372549019608,0.8181372549019608,0.8181372549019608,0.8181372549019608
macro avg,0.5977555847060244,0.40075589035878145,0.37929789925160684,4080.0
weighted avg,0.7704428596528397,0.8181372549019608,0.7591848627039761,4080.0
