,precision,recall,f1-score,support
1 sao,0.8554542384329619,0.977992277992278,0.912628355251306,2590.0
2 sao,0.0,0.0,0.0,241.0
3 sao,0.0,0.0,0.0,165.0
4 sao,0.4166666666666667,0.08368200836820083,0.13937282229965156,239.0
5 sao,0.7211267605633803,0.9088757396449704,0.8041884816753927,845.0
accuracy,0.8139705882352941,0.8139705882352941,0.8139705882352941,0.8139705882352941
macro avg,0.39864953313260176,0.39411000520108985,0.3712379318452701,4080.0
weighted avg,0.7168043930271474,0.8139705882352941,0.7540580420701486,4080.0
