,1 sao,2 sao,3 sao,4 sao,5 sao
1 sao,2533,0,3,6,48
2 sao,218,0,2,5,16
3 sao,110,0,0,8,47
4 sao,32,0,1,20,186
5 sao,68,0,0,9,768
