,1 sao,2 sao,3 sao,4 sao,5 sao
1 sao,288,2253,1,6,43
2 sao,21,210,0,1,9
3 sao,7,144,0,1,13
4 sao,19,168,1,5,46
5 sao,36,650,2,21,136
