epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.5272961258888245,2.1101555824279785,0.6348934173583984,1.5362536907196045,0.0010000000474974513
1,0.604558527469635,1.4547291994094849,0.6348934173583984,1.2486567497253418,0.0010000000474974513
2,0.6348263025283813,1.2128074169158936,0.6380789279937744,1.1307358741760254,0.0010000000474974513
3,0.6381961703300476,1.129029631614685,0.6361185908317566,1.057831883430481,0.0010000000474974513
4,0.6355615258216858,1.1055355072021484,0.6456750631332397,1.0994436740875244,0.0010000000474974513
5,0.6643587946891785,1.072749137878418,0.49718207120895386,1.2392010688781738,0.0010000000474974513
6,0.6652165651321411,1.0462507009506226,0.7272727489471436,0.9183667898178101,0.0005000000237487257
7,0.6098890900611877,1.1232858896255493,0.6348934173583984,1.0481624603271484,0.0005000000237487257
8,0.6625819206237793,1.0223768949508667,0.7493261694908142,0.8690494298934937,0.0005000000237487257
9,0.697935163974762,0.9667488932609558,0.7554520964622498,0.8889825940132141,0.0005000000237487257
