,precision,recall,f1-score,support
1 sao,0.9188376753507014,0.35391740640679276,0.5110058512120368,2591.0
2 sao,0.08608490566037735,0.6058091286307054,0.15074858027878163,241.0
3 sao,0.09330628803245436,0.2787878787878788,0.1398176291793313,165.0
4 sao,0.18005540166204986,0.5439330543933054,0.27055150884495316,239.0
5 sao,0.8488372093023255,0.1727810650887574,0.2871189773844641,845.0
accuracy,0.3393776035285469,0.3393776035285469,0.3393776035285469,0.3393776035285469
macro avg,0.42542429600158177,0.39104570666148797,0.2718485093799134,4081.0
weighted avg,0.7785226903898231,0.3393776035285469,0.4142842008468462,4081.0
