,1 sao,2 sao,3 sao,4 sao,5 sao
1 sao,2531,0,0,0,60
2 sao,204,0,0,0,37
3 sao,90,0,0,0,75
4 sao,42,0,0,0,197
5 sao,77,0,0,0,768
