epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.7068806886672974,1.433943510055542,0.7895123958587646,0.8700771927833557,0.0010000000474974513
1,0.7826113700866699,0.8521603345870972,0.7772604823112488,0.7502793669700623,0.0010000000474974513
2,0.7987255454063416,0.7320637702941895,0.8071551322937012,0.6535165905952454,0.0010000000474974513
3,0.8073647618293762,0.6872618198394775,0.808625340461731,0.6317039728164673,0.0010000000474974513
4,0.8125115036964417,0.6397597789764404,0.8100955486297607,0.61868816614151,0.0010000000474974513
5,0.8147172331809998,0.618594229221344,0.8125459551811218,0.6198996305465698,0.0010000000474974513
6,0.8198639750480652,0.5903344750404358,0.8154863715171814,0.6099156737327576,0.0010000000474974513
7,0.8240916728973389,0.5635004043579102,0.8157314658164978,0.625076174736023,0.0010000000474974513
8,0.8277679085731506,0.5418519377708435,0.8140161633491516,0.6405624151229858,0.0010000000474974513
9,0.8313828706741333,0.5131908059120178,0.81377112865448,0.6042119264602661,0.0005000000237487257
