,precision,recall,f1-score,support
1 sao,0.9365239294710328,0.7174835970667696,0.8125,2591.0
2 sao,0.14264264264264265,0.3941908713692946,0.20948180815876516,241.0
3 sao,0.17151162790697674,0.3575757575757576,0.2318271119842829,165.0
4 sao,0.3079710144927536,0.35564853556485354,0.3300970873786408,239.0
5 sao,0.7925925925925926,0.7597633136094675,0.7758308157099698,845.0
accuracy,0.6714040676304828,0.6714040676304828,0.6714040676304828,0.6714040676304828
macro avg,0.4702483614211997,0.5169324150372285,0.47194736464633175,4081.0
weighted avg,0.792098899766107,0.6714040676304828,0.717567834452852,4081.0
