,1 sao,2 sao,3 sao,4 sao,5 sao
1 sao,2588,0,0,0,3
2 sao,238,0,0,0,2
3 sao,160,0,0,0,5
4 sao,213,0,0,0,26
5 sao,758,0,0,2,85
