,1 sao,2 sao,3 sao,4 sao,5 sao
1 sao,1947,482,67,10,85
2 sao,120,99,11,1,10
3 sao,28,54,38,21,24
4 sao,12,18,29,60,120
5 sao,35,30,42,68,670
