,precision,recall,f1-score,support
1 sao,0.9513725490196079,0.4681590119644925,0.627521986549405,2591.0
2 sao,0.10401188707280833,0.5809128630705395,0.17643352236925017,241.0
3 sao,0.0881057268722467,0.24242424242424243,0.12924071082390953,165.0
4 sao,0.18246869409660108,0.42677824267782427,0.2556390977443609,239.0
5 sao,0.8366890380313199,0.44260355029585796,0.5789473684210527,845.0
accuracy,0.45797598627787306,0.45797598627787306,0.45797598627787306,0.45797598627787306
macro avg,0.43252957901851674,0.43217558208659135,0.3535565371815957,4081.0
weighted avg,0.7976532318681264,0.45797598627787306,0.5489004984080212,4081.0
