epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6578753590583801,0.0002010000025620684,1.3827574253082275,0.7500613331794739,0.9589440226554871
1,0.7344210147857666,0.0002010000025620684,1.1394085884094238,0.7211184501647949,0.8336467742919922
2,0.7457678914070129,0.0002010000025620684,0.9849786162376404,0.7279862761497498,0.7893973588943481
3,0.7692590951919556,0.0002010000025620684,0.8874937891960144,0.7225901484489441,0.7752652764320374
4,0.7923209071159363,0.0002010000025620684,0.7798477411270142,0.7534952163696289,0.7376121282577515
5,0.8150147199630737,0.0002010000025620684,0.6937108635902405,0.7552121877670288,0.774552583694458
6,0.8400392532348633,0.0002010000025620684,0.6224437355995178,0.7694383263587952,0.8183900117874146
7,0.8640824556350708,0.0001005000012810342,0.5274808406829834,0.7615894079208374,0.87058025598526
8,0.8714426159858704,0.0001005000012810342,0.4870973825454712,0.7647780179977417,0.9091110229492188
9,0.8876349329948425,5.02500006405171e-05,0.43342697620391846,0.7503066062927246,0.9355631470680237
