,1 sao,2 sao,3 sao,4 sao,5 sao
1 sao,2528,0,0,0,63
2 sao,228,0,1,0,12
3 sao,99,0,1,0,66
4 sao,30,0,0,0,208
5 sao,61,0,1,0,783
