,precision,recall,f1-score,support
1 sao,0.858112695179905,0.975685063681976,0.9131298537113961,2591.0
2 sao,0.0,0.0,0.0,241.0
3 sao,0.3333333333333333,0.006024096385542169,0.011834319526627219,166.0
4 sao,0.0,0.0,0.0,238.0
5 sao,0.691696113074205,0.9266272189349113,0.7921092564491654,845.0
accuracy,0.8115657926978682,0.8115657926978682,0.8115657926978682,0.8115657926978682
macro avg,0.37662842831748866,0.3816672758004859,0.34341468593743774,4081.0
weighted avg,0.7015894491772042,0.8115657926978682,0.7442333422463103,4081.0
