,1 sao,2 sao,3 sao,4 sao,5 sao
1 sao,1626,0,0,0,965
2 sao,96,0,0,0,145
3 sao,38,0,0,0,127
4 sao,29,0,0,0,210
5 sao,38,0,0,0,807
