,1 sao,2 sao,3 sao,4 sao,5 sao
1 sao,2508,0,0,0,82
2 sao,212,0,0,0,29
3 sao,99,0,0,0,66
4 sao,33,0,0,0,206
5 sao,82,0,0,0,763
