,1 sao,2 sao,3 sao,4 sao,5 sao
1 sao,2531,0,0,0,59
2 sao,225,0,0,0,16
3 sao,121,0,0,0,44
4 sao,92,0,0,0,147
5 sao,314,0,0,0,531
