,precision,recall,f1-score,support
1 sao,0.8662810479755019,0.9826321883442686,0.9207956600361664,2591.0
2 sao,0.125,0.004166666666666667,0.008064516129032258,240.0
3 sao,0.2727272727272727,0.01818181818181818,0.03409090909090909,165.0
4 sao,0.3409090909090909,0.06276150627615062,0.10600706713780919,239.0
5 sao,0.7105751391465677,0.906508875739645,0.796671866874675,845.0
accuracy,0.816421568627451,0.816421568627451,0.816421568627451,0.816421568627451
macro avg,0.46309851015168657,0.3948502110417098,0.3731260038537184,4080.0
weighted avg,0.7356488874045706,0.816421568627451,0.7578101606813019,4080.0
