,1 sao,2 sao,3 sao,4 sao,5 sao
1 sao,2546,3,1,2,39
2 sao,210,1,1,5,23
3 sao,92,2,3,11,57
4 sao,27,1,3,15,193
5 sao,64,1,3,11,766
