epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.7157824039459229,1.4224445819854736,0.7813725471496582,0.9203905463218689,0.0010000000474974513
1,0.7832986116409302,0.8497066497802734,0.7968137264251709,0.7297604084014893,0.0010000000474974513
2,0.7974513173103333,0.7359125018119812,0.7975490093231201,0.6877319812774658,0.0010000000474974513
3,0.8060286641120911,0.6784753799438477,0.8049019575119019,0.6464385390281677,0.0010000000474974513
4,0.8117265105247498,0.6385465264320374,0.8061274290084839,0.6267246603965759,0.0010000000474974513
5,0.8170567154884338,0.6078996062278748,0.8147059082984924,0.5996636152267456,0.0010000000474974513
6,0.8204264044761658,0.5810889601707458,0.8154411911964417,0.5987377762794495,0.0010000000474974513
7,0.8233059644699097,0.5583890676498413,0.8164215683937073,0.5939444303512573,0.0010000000474974513
8,0.8265531063079834,0.5405168533325195,0.8080882430076599,0.6128687262535095,0.0010000000474974513
9,0.8305354714393616,0.523243248462677,0.8127450942993164,0.5974980592727661,0.0010000000474974513
