,1 sao,2 sao,3 sao,4 sao,5 sao
1 sao,2463,0,0,0,128
2 sao,203,0,0,0,38
3 sao,79,0,0,0,87
4 sao,29,0,0,0,209
5 sao,55,0,0,0,790
