,1 sao,2 sao,3 sao,4 sao,5 sao
1 sao,2228,0,0,0,362
2 sao,176,0,0,0,65
3 sao,75,0,0,0,90
4 sao,40,0,0,0,199
5 sao,147,0,0,0,698
