,1 sao,2 sao,3 sao,4 sao,5 sao
1 sao,2479,0,0,0,112
2 sao,214,0,0,0,27
3 sao,110,0,0,0,56
4 sao,77,0,0,0,161
5 sao,167,0,0,0,678
