epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.5462287664413452,2.072742462158203,0.6351384520530701,1.5157480239868164,0.0010000000474974513
1,0.6195086240768433,1.4280372858047485,0.6351384520530701,1.2323179244995117,0.0010000000474974513
2,0.6402181386947632,1.19052255153656,0.6642979383468628,1.1585874557495117,0.0010000000474974513
3,0.6479382514953613,1.0947258472442627,0.6603773832321167,1.106469988822937,0.0010000000474974513
4,0.6682188510894775,1.0609849691390991,0.6951727271080017,1.0119668245315552,0.0010000000474974513
5,0.6588444113731384,1.072255253791809,0.6446949243545532,1.0516953468322754,0.0010000000474974513
6,0.6513081192970276,1.0909308195114136,0.6344033479690552,1.0968291759490967,0.0010000000474974513
7,0.6656454801559448,1.030908226966858,0.7022788524627686,0.974661648273468,0.0005000000237487257
8,0.7148458957672119,0.9481504559516907,0.7735849022865295,0.8116896152496338,0.0005000000237487257
9,0.7275902032852173,0.9248754382133484,0.7708894610404968,0.8119572401046753,0.0005000000237487257
