,precision,recall,f1-score,support
1 sao,0.8135871348867739,0.9567734465457353,0.8793898545583541,2591.0
2 sao,0.0,0.0,0.0,241.0
3 sao,0.0,0.0,0.0,166.0
4 sao,0.0,0.0,0.0,238.0
5 sao,0.655705996131528,0.8023668639053254,0.7216604576902608,845.0
accuracy,0.7735849056603774,0.7735849056603774,0.7735849056603774,0.7735849056603774
macro avg,0.2938586262036604,0.35182806209021217,0.32021006244972294,4081.0
weighted avg,0.6523096871410861,0.7735849056603774,0.7077437392572814,4081.0
